AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET,Date
0.00174086062141,0.00134234628117,0.000997322671278,0.00191283405559,0.003043525542,0.0016573916147,0.00149566975371,0.00124334751464,0.00137558573873,0.000619359541004,0.00138685313024,12/13/2013
0.00173342312801,0.00133613276183,0.000994917879841,0.00191031046298,0.00303572153076,0.00165629380632,0.00149108165438,0.00124181695445,0.00135909324815,0.000608302563692,0.00137373699733,12/20/2013
0.00173580013226,0.0013372648699,0.000994868481219,0.00190980953602,0.00303236071882,0.00165300721557,0.00148767986771,0.00122531764692,0.00135738105472,0.000608607647792,0.00136010389806,12/27/2013
0.00170819280501,0.00133585805717,0.000998319450185,0.00188077037465,0.00302505169906,0.00163535417904,0.00148760128971,0.00121774494568,0.00138820387647,0.000608564784534,0.0013699706645,1/3/2014
0.00170493817845,0.00133396074778,0.00099773709644,0.00186965450621,0.00304518062361,0.00163138157262,0.00148577191461,0.00121772746522,0.00138826811511,0.000607498038435,0.00137078104203,1/10/2014
0.00170040710118,0.00133788356203,0.000998280357958,0.00187474109032,0.00309687216753,0.00164603579233,0.00150573148452,0.0012323136521,0.00139658638411,0.000586117853837,0.00127656237805,1/17/2014
0.00174805877646,0.00134929692597,0.000999434104462,0.00188818214652,0.00310199676636,0.00164828203868,0.00149452090941,0.00122160572864,0.00139913400822,0.000581155338131,0.00127762384486,1/24/2014
0.00175615744232,0.00134947023782,0.00100821885703,0.00188591830291,0.00309744475626,0.00164903925637,0.00149203383869,0.00122070187115,0.00139985230285,0.000585929909246,0.00128137660719,1/31/2014
0.00176739809777,0.0013427061633,0.0010095645088,0.00186746438109,0.00308863034574,0.00164778388443,0.00149033914297,0.00121930448935,0.00139348681614,0.00058527698963,0.00128226427299,2/7/2014
0.00177070851327,0.00134019439819,0.00100658851765,0.00186661153756,0.00307285754041,0.00164434342333,0.001486378621,0.00122082233921,0.00147776804805,0.000578451923554,0.00128017929372,2/14/2014
0.00176656666113,0.00132705787509,0.00100558552537,0.00187188989899,0.00308236045211,0.00164571043017,0.00148794952114,0.00119579315735,0.00149956432468,0.000579050776885,0.00126633886957,2/21/2014
0.00173881137154,0.00132044223873,0.000997435972028,0.00186298638521,0.00308747500468,0.00165879852546,0.00149955239172,0.00119193703323,0.00149282622203,0.000572657396017,0.00125442981138,2/28/2014
0.00171813661988,0.00132571609371,0.000992301231214,0.00184685072387,0.00309503462675,0.00167602982297,0.00151379199609,0.00120880183732,0.00150365368273,0.000583600869216,0.00125104150791,3/7/2014
0.00171571627235,0.001324150403,0.0010151408033,0.0018429291863,0.00310863153045,0.00167535469383,0.00153336478985,0.00117949425907,0.00149709315283,0.000588097747307,0.00126647602658,3/14/2014
0.00170953730583,0.00134177021618,0.00101267979872,0.00187021347026,0.00312783585939,0.00168058480696,0.00153225760802,0.00117592619842,0.00152932004595,0.000589191596144,0.00126520496018,3/21/2014
0.00170611067804,0.00129580044942,0.00100788349555,0.00188081098112,0.00312930594965,0.00167170530872,0.00151923965222,0.00117440119128,0.00153441201007,0.000589363939888,0.00126323678889,3/28/2014
0.00168277763682,0.00129650571113,0.00101046985936,0.00188541496549,0.00315461546124,0.00170010982469,0.00156107711977,0.00118901466959,0.00160311373307,0.000618064905855,0.00126892649092,4/4/2014
0.00168300247289,0.00129047901461,0.00101135278713,0.00187945244535,0.00319167567347,0.00170413669533,0.00155875624748,0.00120028362571,0.00160595051511,0.000599255847985,0.00126490349241,4/11/2014
0.00172615669429,0.00129934382166,0.00101139424219,0.00191112282016,0.00318324813312,0.00170398322996,0.0015576229208,0.00120579219152,0.00165715270377,0.000596823277458,0.00127852756784,4/18/2014
0.00172969509011,0.00129949523072,0.00100328924689,0.00190874011863,0.0031693547247,0.00168059026164,0.00154463642214,0.00120543609104,0.00167307093696,0.000593070559798,0.00126659841188,4/25/2014
0.00172790915442,0.00130018299582,0.00100133523449,0.00192532487517,0.0031760673701,0.00166655810402,0.00155073176359,0.00120466921166,0.00171428876345,0.000609139804823,0.00127199941095,5/2/2014
0.00172959080174,0.00129947608122,0.00100173119267,0.00192269449064,0.00317683769954,0.00166161482669,0.00155156206089,0.00120603293046,0.00171223500066,0.000608651611673,0.00126338356613,5/9/2014
0.00173193496228,0.00132307101067,0.000991984657374,0.0019284129028,0.00316595261669,0.00166064473189,0.00154802635597,0.00119971903623,0.00170885318852,0.000608930106688,0.00126577469786,5/16/2014
0.00171541231214,0.00131717657838,0.00099270178572,0.00192737569464,0.00316377434024,0.00166058562858,0.00154833413741,0.00118743477868,0.00170470512692,0.000599208256197,0.00126563689387,5/23/2014
0.00171368071669,0.00129933347104,0.000990867028354,0.00194337096099,0.00317050861498,0.00166939219322,0.00155106493585,0.00119384029631,0.00170489123389,0.00059977531025,0.00126821017544,5/30/2014
0.00171384979902,0.00129630676493,0.000991485702259,0.00193913547262,0.00316591127818,0.00165400072085,0.00154292337561,0.00119349357708,0.00169829811719,0.000598829697776,0.00126944548203,6/6/2014
0.0017005402818,0.00124683370435,0.000964705357114,0.00189689296866,0.00314085317413,0.00164607976539,0.00152357133744,0.00117419659936,0.00166523298463,0.000593282755839,0.0012595299544,6/13/2014
0.00168909808475,0.00125039300265,0.000959331961081,0.00188732636383,0.00311702357797,0.00164586947339,0.00152017280748,0.00117400488736,0.00166517262515,0.000586949996035,0.00125571664048,6/20/2014
