,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00135999922563,0.000291736414043,0.00022757152423,0.000367216099729,0.000269699436409,0.000310606238043,0.000235687031835,0.000331399947606,0.000170311611651,0.00010126848984,2.78756791545e-05
GOOGL,0.000291736414043,0.0012369794217,0.000447839502558,0.000701843649601,0.00042931035224,0.000317653877632,0.000334627085081,0.00044860335191,0.000244335025276,0.000311739435098,0.000171017673641
MSFT,0.00022757152423,0.000447839502558,0.00115768606346,0.000273988837396,0.000318605751053,0.000312403839172,0.000296501463446,0.000411374112177,0.000364343931564,0.00022801991522,0.000199695976025
AMZN,0.000367216099729,0.000701843649601,0.000273988837396,0.00167872462923,0.000433172216588,0.000365272093794,0.000240475264745,0.000484128888391,0.000245440227153,0.000254711291906,0.000155068378546
MS,0.000269699436409,0.00042931035224,0.000318605751053,0.000433172216588,0.00118094494713,0.000779968508146,0.000592807411039,0.000679453661119,0.00048926697745,0.000295377957666,0.000299937090243
GS,0.000310606238043,0.000317653877632,0.000312403839172,0.000365272093794,0.000779968508146,0.00076774161555,0.000550338151488,0.00058546589339,0.000452252502842,0.000259666391048,0.000271804862934
JPM,0.000235687031835,0.000334627085081,0.000296501463446,0.000240475264745,0.000592807411039,0.000550338151488,0.000660507683929,0.00045085630175,0.000337088122539,0.000286541756662,0.000268370126766
BLK,0.000331399947606,0.00044860335191,0.000411374112177,0.000484128888391,0.000679453661119,0.00058546589339,0.00045085630175,0.000849395689684,0.000378846744144,0.000324696613116,0.000291790935628
MYL,0.000170311611651,0.000244335025276,0.000364343931564,0.000245440227153,0.00048926697745,0.000452252502842,0.000337088122539,0.000378846744144,0.00191363974668,0.000367752747766,0.000451849620092
PFE,0.00010126848984,0.000311739435098,0.00022801991522,0.000254711291906,0.000295377957666,0.000259666391048,0.000286541756662,0.000324696613116,0.000367752747766,0.000568382987724,0.000220646438197
AET,2.78756791545e-05,0.000171017673641,0.000199695976025,0.000155068378546,0.000299937090243,0.000271804862934,0.000268370126766,0.000291790935628,0.000451849620092,0.000220646438197,0.000890280204119
