,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00116953117254,0.000497009094325,0.000429242554202,0.00047179670191,0.000417209114263,0.000390442561857,0.000401037747791,0.000465663641852,0.000352013125668,0.000215297708071,0.00017466272147
GOOGL,0.000497009094325,0.00127428440952,0.000593866190324,0.000791557189117,0.000511901972929,0.000398721352262,0.000421630445052,0.000564334884451,0.00029675972896,0.000330322942766,0.000175978390213
MSFT,0.000429242554202,0.000593866190324,0.00103596737646,0.000432763233306,0.000479760390774,0.00041460886484,0.000441146570567,0.000519375774581,0.000411717879248,0.00029155826788,0.000184591488459
AMZN,0.00047179670191,0.000791557189117,0.000432763233306,0.00182635889291,0.000522033045704,0.000395766130601,0.000312955638129,0.000503051206139,0.000256338114626,0.00027648778633,0.000122431659384
MS,0.000417209114263,0.000511901972929,0.000479760390774,0.000522033045704,0.00131677133235,0.000904638841427,0.000775648658896,0.000776423197434,0.000584094920649,0.000358670014191,0.000353409635246
GS,0.000390442561857,0.000398721352262,0.00041460886484,0.000395766130601,0.000904638841427,0.000857722050881,0.000665126039028,0.000645586454566,0.000514339706934,0.000258350334318,0.000307964794341
JPM,0.000401037747791,0.000421630445052,0.000441146570567,0.000312955638129,0.000775648658896,0.000665126039028,0.00076765843536,0.000595550475995,0.000339502733355,0.000296596488875,0.000276638726108
BLK,0.000465663641852,0.000564334884451,0.000519375774581,0.000503051206139,0.000776423197434,0.000645586454566,0.000595550475995,0.000897567106374,0.000414327617553,0.000315107071369,0.000295530446433
MYL,0.000352013125668,0.00029675972896,0.000411717879248,0.000256338114626,0.000584094920649,0.000514339706934,0.000339502733355,0.000414327617553,0.00264691413093,0.000368706433985,0.00060664706141
PFE,0.000215297708071,0.000330322942766,0.00029155826788,0.00027648778633,0.000358670014191,0.000258350334318,0.000296596488875,0.000315107071369,0.000368706433985,0.000579269441188,0.000242889904797
AET,0.00017466272147,0.000175978390213,0.000184591488459,0.000122431659384,0.000353409635246,0.000307964794341,0.000276638726108,0.000295530446433,0.00060664706141,0.000242889904797,0.00092426163382
