,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00144938707149,0.000207263080984,0.000144679826747,0.000282570154493,0.000269488622466,0.000282702991539,0.000239107883779,0.000308577143615,0.000161775313347,7.17369477021e-05,5.35363828582e-05
GOOGL,0.000207263080984,0.000894725413589,0.00025904904311,0.000545557746966,0.000372473756346,0.000280540660803,0.000285824794621,0.00030793856625,0.000229385938405,0.000216193202298,0.000113359798091
MSFT,0.000144679826747,0.00025904904311,0.00081492162531,0.000170562308973,0.000334278913712,0.00022913016182,0.000247728502155,0.000268015194514,0.000276962858346,0.000126960010511,0.000286283823135
AMZN,0.000282570154493,0.000545557746966,0.000170562308973,0.00150089461762,0.000478304144,0.000421379069231,0.000294111015849,0.000421886283447,0.000200594124929,0.000254112779024,5.69835941174e-05
MS,0.000269488622466,0.000372473756346,0.000334278913712,0.000478304144,0.00164577671519,0.00104051254324,0.000909015094645,0.000712948482798,0.000415580685623,0.000210756221762,0.000365827516159
GS,0.000282702991539,0.000280540660803,0.00022913016182,0.000421379069231,0.00104051254324,0.000957704250006,0.000758764884553,0.000583060089817,0.000397769842595,0.000175600903015,0.000263456832236
JPM,0.000239107883779,0.000285824794621,0.000247728502155,0.000294111015849,0.000909015094645,0.000758764884553,0.00100611722901,0.000497274000114,0.000356374842823,0.000240783448871,0.000378911723999
BLK,0.000308577143615,0.00030793856625,0.000268015194514,0.000421886283447,0.000712948482798,0.000583060089817,0.000497274000114,0.000802610676241,0.000297343433461,0.000248831777156,0.000294113167738
MYL,0.000161775313347,0.000229385938405,0.000276962858346,0.000200594124929,0.000415580685623,0.000397769842595,0.000356374842823,0.000297343433461,0.00117488426187,0.000294639888545,0.000375810865148
PFE,7.17369477021e-05,0.000216193202298,0.000126960010511,0.000254112779024,0.000210756221762,0.000175600903015,0.000240783448871,0.000248831777156,0.000294639888545,0.000489596750399,0.000171182010148
AET,5.35363828582e-05,0.000113359798091,0.000286283823135,5.69835941174e-05,0.000365827516159,0.000263456832236,0.000378911723999,0.000294113167738,0.000375810865148,0.000171182010148,0.00095997526446
