,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00171813661988,0.000538277630365,0.000247079811006,0.000622630814599,0.000568164017065,0.000474668209136,0.000427179464675,0.000558315768541,0.000316533465928,9.10557882718e-05,0.000261061637166
GOOGL,0.000538277630365,0.00132571609371,0.000409251784892,0.000747733316211,0.000695864617087,0.000445575088009,0.000550268542465,0.00058093119477,0.000509763454998,0.000335380125237,0.000352947517518
MSFT,0.000247079811006,0.000409251784892,0.000992301231214,0.000508126124743,0.000709693348325,0.000452086252228,0.00048086319371,0.000424688920654,0.000537465552341,0.000196225467987,0.000424789834975
AMZN,0.000622630814599,0.000747733316211,0.000508126124743,0.00184685072387,0.000881045451,0.00067576013462,0.000628705994197,0.000693714613013,0.000548904666967,0.000385220003416,0.000440819820621
MS,0.000568164017065,0.000695864617087,0.000709693348325,0.000881045451,0.00309503462675,0.00197741128631,0.00173946505352,0.00128237034811,0.00108127440272,0.000460440588577,0.000825449431401
GS,0.000474668209136,0.000445575088009,0.000452086252228,0.00067576013462,0.00197741128631,0.00167602982297,0.00128785976942,0.000964977336834,0.000767885833624,0.000284795087311,0.000515713211791
JPM,0.000427179464675,0.000550268542465,0.00048086319371,0.000628705994197,0.00173946505352,0.00128785976942,0.00151379199608,0.000893208103896,0.000752254228068,0.000399574806047,0.000659109289773
BLK,0.000558315768541,0.00058093119477,0.000424688920654,0.000693714613013,0.00128237034811,0.000964977336834,0.000893208103896,0.00120880183732,0.000790521208989,0.000431727894389,0.000630955020534
MYL,0.000316533465928,0.000509763454998,0.000537465552341,0.000548904666967,0.00108127440272,0.000767885833624,0.000752254228068,0.000790521208989,0.00150365368273,0.000437187586581,0.000746249437038
PFE,9.10557882718e-05,0.000335380125237,0.000196225467987,0.000385220003416,0.000460440588577,0.000284795087311,0.000399574806047,0.000431727894389,0.000437187586581,0.000583600869216,0.000279050742854
AET,0.000261061637166,0.000352947517518,0.000424789834975,0.000440819820621,0.000825449431401,0.000515713211791,0.000659109289773,0.000630955020534,0.000746249437038,0.000279050742854,0.00125104150791
