,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00156314263831,0.000316742483207,0.0001556575742,0.000386762843358,0.000454090455595,0.000409654828402,0.000351682259485,0.000411620953661,0.000203526889292,9.12970441646e-05,0.00014299393421
GOOGL,0.000316742483207,0.000998137492329,0.00027890437365,0.000582322598886,0.000511224026729,0.000312003044134,0.000373221869191,0.000418943475723,0.000329323817282,0.000301975864156,0.000215955053122
MSFT,0.0001556575742,0.00027890437365,0.00086576602481,0.000296559637293,0.000478110592869,0.000306228870331,0.000334488625888,0.000279900698463,0.000323596306995,0.000143087824986,0.000326784711938
AMZN,0.000386762843358,0.000582322598886,0.000296559637293,0.00163825843907,0.000686176721854,0.000552828041759,0.000439343048483,0.000483461406178,0.00018577681328,0.000333946009496,0.000156560871541
MS,0.000454090455595,0.000511224026729,0.000478110592869,0.000686176721854,0.00242307914299,0.00162416628148,0.00135440521541,0.000977279837116,0.000746705821925,0.000367144182053,0.000602383014038
GS,0.000409654828402,0.000312003044134,0.000306228870331,0.000552828041759,0.00162416628148,0.00142667429897,0.00106615146848,0.000775674811222,0.000604225285345,0.0002616449232,0.000417750518875
JPM,0.000351682259485,0.000373221869191,0.000334488625888,0.000439343048483,0.00135440521541,0.00106615146848,0.00126580505709,0.000673437599508,0.000564325124226,0.000345279015986,0.000542823106308
BLK,0.000411620953661,0.000418943475723,0.000279900698463,0.000483461406178,0.000977279837116,0.000775674811222,0.000673437599508,0.000947960508301,0.000448125700338,0.000344399040393,0.000402076988142
MYL,0.000203526889292,0.000329323817282,0.000323596306995,0.00018577681328,0.000746705821925,0.000604225285345,0.000564325124226,0.000448125700338,0.00128893299316,0.000374799239276,0.000477709766752
PFE,9.12970441646e-05,0.000301975864156,0.000143087824986,0.000333946009496,0.000367144182053,0.0002616449232,0.000345279015986,0.000344399040393,0.000374799239276,0.0005228957346,0.000219777952362
AET,0.00014299393421,0.000215955053122,0.000326784711938,0.000156560871541,0.000602383014038,0.000417750518875,0.000542823106308,0.000402076988142,0.000477709766752,0.000219777952362,0.00105288932396
