,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00138521700222,0.000189242346593,0.000132107129948,0.000347008264554,0.000277211412273,0.000292257397333,0.000215372351454,0.000297715454344,0.000178018793768,8.04105482203e-05,4.33683039844e-05
GOOGL,0.000189242346593,0.000905545234824,0.000280609597229,0.000536431750898,0.000324660605559,0.00024904243401,0.000267562393785,0.000304781070657,0.000223938605906,0.000215820679397,0.000122916833478
MSFT,0.000132107129948,0.000280609597229,0.00101455564352,7.89323368878e-05,0.000385410200876,0.000296171362134,0.000304288246396,0.000341807552892,0.000323584427433,0.000188568724687,0.000320445931508
AMZN,0.000347008264554,0.000536431750898,7.89323368878e-05,0.00157464486128,0.000422183266936,0.000386979959259,0.000264123765775,0.000418852565315,0.00016836534445,0.000231728093578,1.87621059517e-05
MS,0.000277211412273,0.000324660605559,0.000385410200876,0.000422183266936,0.00155755587809,0.00100724267858,0.000884492971681,0.000741808140903,0.000426006743536,0.000233270201948,0.000407269871657
GS,0.000292257397333,0.00024904243401,0.000296171362134,0.000386979959259,0.00100724267858,0.000950083728874,0.000753445411357,0.000624308959669,0.000416287832804,0.000205855846142,0.000304834745019
JPM,0.000215372351454,0.000267562393785,0.000304288246396,0.000264123765775,0.000884492971681,0.000753445411357,0.000980815478271,0.000518878684927,0.000368905775639,0.000257329534106,0.000400122745806
BLK,0.000297715454344,0.000304781070657,0.000341807552892,0.000418852565315,0.000741808140903,0.000624308959669,0.000518878684927,0.000835607709684,0.000322525915902,0.000277990810149,0.000299684752442
MYL,0.000178018793768,0.000223938605906,0.000323584427433,0.00016836534445,0.000426006743536,0.000416287832804,0.000368905775639,0.000322525915902,0.00125427204621,0.000307710135484,0.000387054386464
PFE,8.04105482203e-05,0.000215820679397,0.000188568724687,0.000231728093578,0.000233270201948,0.000205855846142,0.000257329534106,0.000277990810149,0.000307710135484,0.000523826704142,0.000165848764133
AET,4.33683039844e-05,0.000122916833478,0.000320445931508,1.87621059517e-05,0.000407269871657,0.000304834745019,0.000400122745806,0.000299684752442,0.000387054386464,0.000165848764133,0.000910150810302
