,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00137782621378,0.000315680008329,0.00020015381546,0.000375266820434,0.000302120882301,0.00031810951585,0.000234981544433,0.000318874212982,0.000196658648347,0.00012378193971,0.000100402345286
GOOGL,0.000315680008329,0.00129101564298,0.000460588946871,0.000688525023526,0.0004414645679,0.00030888797437,0.000333109330038,0.000422043679353,0.000247543770349,0.000297181485046,0.000205936796722
MSFT,0.00020015381546,0.000460588946871,0.00113656232359,0.000241171236687,0.000367379642206,0.00031969972243,0.000299166739053,0.000390718934287,0.00041824793825,0.000231155810021,0.000302962004236
AMZN,0.000375266820434,0.000688525023526,0.000241171236687,0.00164411503399,0.000422188679282,0.000345541575599,0.000222597222778,0.00045547843801,0.00022985518681,0.00025734030373,0.000184828763909
MS,0.000302120882301,0.0004414645679,0.000367379642206,0.000422188679282,0.00118224742873,0.000793542371593,0.000610655283055,0.000679621498577,0.000453429307773,0.000283298159928,0.000336654667543
GS,0.00031810951585,0.00030888797437,0.00031969972243,0.000345541575599,0.000793542371593,0.000783961904636,0.000561321384133,0.000587897504861,0.000425830561858,0.000255427141588,0.000309505305079
JPM,0.000234981544433,0.000333109330038,0.000299166739053,0.000222597222778,0.000610655283055,0.000561321384133,0.000665665779507,0.000451091820363,0.000331840699081,0.00028832628583,0.000327710470949
BLK,0.000318874212982,0.000422043679353,0.000390718934287,0.00045547843801,0.000679621498577,0.000587897504861,0.000451091820363,0.000826345509566,0.000373628298499,0.000323885868365,0.000305033910742
MYL,0.000196658648347,0.000247543770349,0.00041824793825,0.00022985518681,0.000453429307773,0.000425830561858,0.000331840699081,0.000373628298499,0.00187229555351,0.000352420722461,0.000388430895122
PFE,0.00012378193971,0.000297181485046,0.000231155810021,0.00025734030373,0.000283298159928,0.000255427141588,0.00028832628583,0.000323885868365,0.000352420722461,0.000575867860149,0.000226131904433
AET,0.000100402345286,0.000205936796722,0.000302962004236,0.000184828763909,0.000336654667543,0.000309505305079,0.000327710470949,0.000305033910742,0.000388430895122,0.000226131904433,0.000798895753291
