,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00132348681915,0.000311834883402,0.000256272310907,0.000370792620129,0.000335815460878,0.000339790416825,0.000293097783132,0.00038948131651,0.000125703099353,9.85017316926e-05,6.34273122639e-05
GOOGL,0.000311834883402,0.00124671127638,0.000477624785269,0.000713514292017,0.000449160291407,0.000338425631072,0.000367971752669,0.000487133221053,0.000227256606986,0.000309586410661,0.000184956112602
MSFT,0.000256272310907,0.000477624785269,0.00116513131974,0.000298240490453,0.000360604089215,0.00032071819873,0.000321208376689,0.000451676195381,0.000331746639263,0.000234781772888,0.00020958623039
AMZN,0.000370792620129,0.000713514292017,0.000298240490453,0.00167353083143,0.000468250362973,0.000388454783371,0.00026301694617,0.000528189978576,0.000219918438413,0.000245624993271,0.000155722566406
MS,0.000335815460878,0.000449160291407,0.000360604089215,0.000468250362973,0.00123525520415,0.000817796835959,0.000639022289726,0.000747673181683,0.000440145240346,0.000322423621041,0.000312315106935
GS,0.000339790416825,0.000338425631072,0.00032071819873,0.000388454783371,0.000817796835959,0.000774650301476,0.000579340063906,0.000634419918485,0.000409015218712,0.000281277644112,0.000276954414614
JPM,0.000293097783132,0.000367971752669,0.000321208376689,0.00026301694617,0.000639022289726,0.000579340063906,0.000686062680945,0.000510003008632,0.000304496840471,0.000288326850271,0.000273135426957
BLK,0.00038948131651,0.000487133221053,0.000451676195381,0.000528189978576,0.000747673181683,0.000634419918485,0.000510003008632,0.000943758805713,0.000345034825427,0.000334696888456,0.000306403767749
MYL,0.000125703099353,0.000227256606986,0.000331746639263,0.000219918438413,0.000440145240346,0.000409015218712,0.000304496840471,0.000345034825427,0.00195353487905,0.000332855001064,0.000409475284121
PFE,9.85017316926e-05,0.000309586410661,0.000234781772888,0.000245624993271,0.000322423621041,0.000281277644112,0.000288326850271,0.000334696888456,0.000332855001064,0.000575288724986,0.000216703251945
AET,6.34273122639e-05,0.000184956112602,0.00020958623039,0.000155722566406,0.000312315106935,0.000276954414614,0.000273135426957,0.000306403767749,0.000409475284121,0.000216703251945,0.000890562329343
