,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00127350074471,0.000371197963965,0.000309363391434,0.000436685137899,0.000441134547414,0.000401181939997,0.000358465484525,0.000462602552695,0.000176002861134,0.000133394144972,0.000113347589445
GOOGL,0.000371197963965,0.00121982071458,0.000500993380768,0.000742229206669,0.000520972585939,0.000385091409265,0.000400464350878,0.000537226452389,0.000243476998695,0.000308794660498,0.000179960348367
MSFT,0.000309363391434,0.000500993380768,0.0011887967153,0.000336801987407,0.000419206622348,0.000367059158507,0.000370900463283,0.00049985243876,0.000363198821604,0.000252595489384,0.000206349724742
AMZN,0.000436685137899,0.000742229206669,0.000336801987407,0.00174505656566,0.000543265830344,0.000441264892823,0.000326749799618,0.000586500554273,0.000260020562689,0.000253764416023,0.000158126599981
MS,0.000441134547414,0.000520972585939,0.000419206622348,0.000543265830344,0.00128315952789,0.000864013854532,0.000717978127844,0.000791148194083,0.000488602573735,0.000344073328671,0.000315376378356
GS,0.000401181939997,0.000385091409265,0.000367059158507,0.000441264892823,0.000864013854532,0.000812014015525,0.000639180240369,0.00067590010971,0.00045155871929,0.00029520898755,0.000286470951633
JPM,0.000358465484525,0.000400464350878,0.000370900463283,0.000326749799618,0.000717978127844,0.000639180240369,0.000756156679407,0.00057557536172,0.000358955144482,0.000306665083842,0.000285354145726
BLK,0.000462602552695,0.000537226452389,0.00049985243876,0.000586500554273,0.000791148194083,0.00067590010971,0.00057557536172,0.00099213663431,0.000394238147078,0.000351515324472,0.000310471287036
MYL,0.000176002861134,0.000243476998695,0.000363198821604,0.000260020562689,0.000488602573735,0.00045155871929,0.000358955144482,0.000394238147078,0.00199448175312,0.000350319379942,0.000413477809637
PFE,0.000133394144972,0.000308794660498,0.000252595489384,0.000253764416023,0.000344073328671,0.00029520898755,0.000306665083842,0.000351515324472,0.000350319379942,0.000575370961338,0.000218319572019
AET,0.000113347589445,0.000179960348367,0.000206349724742,0.000158126599981,0.000315376378356,0.000286470951633,0.000285354145726,0.000310471287036,0.000413477809637,0.000218319572019,0.000874771721143
