,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00141978716116,0.000189173234969,0.000120563602957,0.000248412151453,0.000271674511463,0.00027036895481,0.000230678344284,0.000286580296248,0.000139360653487,5.51545322434e-05,5.94278897068e-05
GOOGL,0.000189173234969,0.000883600776414,0.000235839605837,0.000463368394355,0.00031264161748,0.000207483851436,0.00025005647315,0.000283589376615,0.00024270363272,0.000233112394407,0.000119888898896
MSFT,0.000120563602957,0.000235839605837,0.000855346789324,0.000191536454689,0.000382003518152,0.000256206345672,0.00027418098343,0.000231522923236,0.000257967921927,0.00011306329121,0.000292347925385
AMZN,0.000248412151453,0.000463368394355,0.000191536454689,0.00151439523096,0.00048358470328,0.000420060642081,0.000282827800207,0.000384298800788,0.000181732849594,0.000264133546116,6.3282617748e-05
MS,0.000271674511463,0.00031264161748,0.000382003518152,0.00048358470328,0.00173431141657,0.00111482232887,0.000920338960002,0.000675772674824,0.000404145205698,0.000215794320525,0.000396791559477
GS,0.00027036895481,0.000207483851436,0.000256206345672,0.000420060642081,0.00111482232887,0.00102223043902,0.000760500995215,0.000557681307632,0.000382233135506,0.000181970508198,0.000284085604516
JPM,0.000230678344284,0.00025005647315,0.00027418098343,0.000282827800207,0.000920338960002,0.000760500995215,0.000996180433349,0.000461933225633,0.000329807373015,0.000249814086809,0.000412479875211
BLK,0.000286580296248,0.000283589376615,0.000231522923236,0.000384298800788,0.000675772674824,0.000557681307632,0.000461933225633,0.000769089731574,0.000237087784145,0.000237668961147,0.00027957029999
MYL,0.000139360653487,0.00024270363272,0.000257967921927,0.000181732849594,0.000404145205698,0.000382233135506,0.000329807373015,0.000237087784145,0.00110810546476,0.00026938769584,0.000362398618256
PFE,5.51545322434e-05,0.000233112394407,0.00011306329121,0.000264133546116,0.000215794320525,0.000181970508198,0.000249814086809,0.000237668961147,0.00026938769584,0.0004758878597,0.000164997164864
AET,5.94278897068e-05,0.000119888898896,0.000292347925385,6.3282617748e-05,0.000396791559477,0.000284085604516,0.000412479875211,0.00027957029999,0.000362398618256,0.000164997164864,0.000979616858249
