,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00122975306016,0.000465972332612,0.000406215331375,0.000451509945946,0.000418669133035,0.000393837402835,0.000392805836944,0.000441360587859,0.000333391961473,0.000205230661956,0.000158746179102
GOOGL,0.000465972332612,0.00128655999544,0.000583452249482,0.00081830712852,0.000524372459298,0.000413834314998,0.000442076242208,0.000571078715588,0.000291699629823,0.000341423848501,0.000197299934327
MSFT,0.000406215331375,0.000583452249482,0.0011168060973,0.000431472886203,0.000441717698981,0.000392254509247,0.00041300855442,0.000514515994105,0.00040895642835,0.000298162476187,0.000196138226274
AMZN,0.000451509945946,0.00081830712852,0.000431472886203,0.00186996785559,0.000561480784577,0.000432914881474,0.000349974121443,0.000534064243384,0.000257024651934,0.000291908352873,0.000158233627797
MS,0.000418669133035,0.000524372459298,0.000441717698981,0.000561480784577,0.00129601317395,0.000895510023328,0.00078610394737,0.000771945491357,0.000587746891317,0.000362929120641,0.000357067692409
GS,0.000393837402835,0.000413834314998,0.000392254509247,0.000432914881474,0.000895510023328,0.000843517138278,0.000671525603482,0.000645034875684,0.000510830424765,0.000262583458178,0.000302620979682
JPM,0.000392805836944,0.000442076242208,0.00041300855442,0.000349974121443,0.00078610394737,0.000671525603482,0.000783097810496,0.000600640627913,0.000338198803312,0.000307949184039,0.000277577700378
BLK,0.000441360587859,0.000571078715588,0.000514515994105,0.000534064243384,0.000771945491357,0.000645034875684,0.000600640627913,0.000903339661418,0.000408699838495,0.000325682100525,0.000299858798614
MYL,0.000333391961473,0.000291699629823,0.00040895642835,0.000257024651934,0.000587746891317,0.000510830424765,0.000338198803312,0.000408699838495,0.0025916539816,0.00037916292314,0.000567848238169
PFE,0.000205230661956,0.000341423848501,0.000298162476187,0.000291908352873,0.000362929120641,0.000262583458178,0.000307949184039,0.000325682100525,0.00037916292314,0.000575984787248,0.000253727923304
AET,0.000158746179102,0.000197299934327,0.000196138226274,0.000158233627797,0.000357067692409,0.000302620979682,0.000277577700378,0.000299858798614,0.000567848238169,0.000253727923304,0.000921255861554
