,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00173342312801,0.000599735888854,0.000283458524249,0.000649683857391,0.000537263449245,0.000484982068187,0.000413981717503,0.000602073293435,0.000393947370124,7.4344190337e-05,0.000344312701006
GOOGL,0.000599735888854,0.00133613276183,0.0004234830256,0.000834949872396,0.000701874939376,0.000453515993988,0.00054919232589,0.000606074051075,0.000503955268526,0.000316351447452,0.000389111492376
MSFT,0.000283458524249,0.0004234830256,0.000994917879841,0.000563930395893,0.000734353719861,0.00046303250851,0.000489369565042,0.000438118410348,0.00054422513689,0.000195844562314,0.000441662418435
AMZN,0.000649683857391,0.000834949872396,0.000563930395893,0.00191031046297,0.000859578497956,0.000692902626505,0.000652139557081,0.00073301351543,0.000605997173082,0.000365816723871,0.000501906162666
MS,0.000537263449245,0.000701874939376,0.000734353719861,0.000859578497956,0.00303572153076,0.00193614732865,0.00172226298531,0.00124724504105,0.00107350109884,0.00042014432485,0.000841619783123
GS,0.000484982068187,0.000453515993988,0.00046303250851,0.000692902626505,0.00193614732865,0.00165629380632,0.00125913313353,0.00094768770622,0.000742633547433,0.000264657162533,0.000515222024216
JPM,0.000413981717503,0.00054919232589,0.000489369565042,0.000652139557081,0.00172226298531,0.00125913313353,0.00149108165438,0.000879556547924,0.000756681382281,0.000358950188844,0.000654780834477
BLK,0.000602073293435,0.000606074051075,0.000438118410348,0.00073301351543,0.00124724504105,0.00094768770622,0.000879556547924,0.00124181695445,0.000800911375199,0.000392665682664,0.000663586594538
MYL,0.000393947370124,0.000503955268526,0.00054422513689,0.000605997173082,0.00107350109884,0.000742633547433,0.000756681382281,0.000800911375199,0.00135909324814,0.00042482673711,0.000726271609814
PFE,7.4344190337e-05,0.000316351447452,0.000195844562314,0.000365816723871,0.00042014432485,0.000264657162533,0.000358950188844,0.000392665682664,0.00042482673711,0.000608302563692,0.000327149185254
AET,0.000344312701006,0.000389111492376,0.000441662418435,0.000501906162666,0.000841619783123,0.000515222024216,0.000654780834477,0.000663586594538,0.000726271609814,0.000327149185254,0.00137373699733
