,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00124555417746,0.000388897768176,0.000338056848168,0.00052170712774,0.000456686700854,0.000421545626418,0.000369234298642,0.000456795512096,0.00017848354043,0.000139592290998,0.00013975379058
GOOGL,0.000388897768176,0.00126305641182,0.000572190127163,0.000835967273659,0.000545440582443,0.000396790464406,0.000410255799029,0.000558215838243,0.00026902642802,0.000321944369718,0.00020601482557
MSFT,0.000338056848168,0.000572190127163,0.00127441159621,0.000441055845182,0.000462773408421,0.000396951524112,0.000409542268453,0.000538677239287,0.000397803832611,0.000270783102115,0.00022002480292
AMZN,0.00052170712774,0.000835967273659,0.000441055845182,0.00189892651,0.000614576948049,0.000475866233491,0.000359848757417,0.000588083716203,0.000334513913127,0.000315803568198,0.000207652569232
MS,0.000456686700854,0.000545440582443,0.000462773408421,0.000614576948049,0.00131476762539,0.000886967648665,0.000736705170173,0.00079141877814,0.000560533135052,0.000341776359193,0.00033881339905
GS,0.000421545626418,0.000396790464406,0.000396951524112,0.000475866233491,0.000886967648665,0.000843189163019,0.000662225312518,0.000676374791216,0.000507552508488,0.000278385570527,0.000280704879188
JPM,0.000369234298642,0.000410255799029,0.000409542268453,0.000359848757417,0.000736705170173,0.000662225312518,0.000773063465837,0.000597524467855,0.000324351320484,0.000297410110681,0.00024882841919
BLK,0.000456795512096,0.000558215838243,0.000538677239287,0.000588083716203,0.00079141877814,0.000676374791216,0.000597524467855,0.000992336733041,0.000416866449062,0.000346052645378,0.000303404890336
MYL,0.00017848354043,0.00026902642802,0.000397803832611,0.000334513913127,0.000560533135052,0.000507552508488,0.000324351320484,0.000416866449062,0.00243383078294,0.000388343186285,0.000506559552035
PFE,0.000139592290998,0.000321944369718,0.000270783102115,0.000315803568198,0.000341776359193,0.000278385570527,0.000297410110681,0.000346052645378,0.000388343186285,0.000587454839289,0.000254245644041
AET,0.00013975379058,0.00020601482557,0.00022002480292,0.000207652569232,0.00033881339905,0.000280704879188,0.00024882841919,0.000303404890336,0.000506559552035,0.000254245644041,0.000876683292715
