,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00122711832358,0.000501447583124,0.000463737323298,0.000476439716893,0.00043642533942,0.000409395250625,0.000396609581732,0.000470080117439,0.000448491568351,0.000224429729508,0.000207358266534
GOOGL,0.000501447583124,0.00115190727648,0.000597969272614,0.000746379275993,0.000457677233646,0.000392479113747,0.000402287022481,0.000484557653008,0.000366007886978,0.000293034681369,0.000220249199567
MSFT,0.000463737323298,0.000597969272614,0.00100650147357,0.000440392815367,0.000471166298353,0.000407223179599,0.000438215801484,0.000509797845599,0.000376635405351,0.000291352779527,0.000184462774062
AMZN,0.000476439716893,0.000746379275993,0.000440392815367,0.00175578506617,0.000514343136849,0.000360710735742,0.000321879585932,0.000462078639016,0.000259382795035,0.000267673067481,0.000183689202693
MS,0.00043642533942,0.000457677233646,0.000471166298353,0.000514343136849,0.00127376193991,0.000885928914658,0.000767939380811,0.000725499627939,0.00055396117595,0.000337208673588,0.000356568110304
GS,0.000409395250625,0.000392479113747,0.000407223179599,0.000360710735742,0.000885928914658,0.000834585003966,0.000684916309008,0.000609664630774,0.00047159906088,0.000253231454481,0.000304607115699
JPM,0.000396609581732,0.000402287022481,0.000438215801484,0.000321879585932,0.000767939380811,0.000684916309008,0.00076495776176,0.000579153970203,0.000320787938123,0.000291661098809,0.000274733429708
BLK,0.000470080117439,0.000484557653008,0.000509797845599,0.000462078639016,0.000725499627939,0.000609664630774,0.000579153970203,0.000855465870804,0.00042681192486,0.000290254462392,0.000336752135039
MYL,0.000448491568351,0.000366007886978,0.000376635405351,0.000259382795035,0.00055396117595,0.00047159906088,0.000320787938123,0.00042681192486,0.00268235814831,0.000397518477888,0.000570919343249
PFE,0.000224429729508,0.000293034681369,0.000291352779527,0.000267673067481,0.000337208673588,0.000253231454481,0.000291661098809,0.000290254462392,0.000397518477888,0.000584909688251,0.00027124721394
AET,0.000207358266534,0.000220249199567,0.000184462774062,0.000183689202693,0.000356568110304,0.000304607115699,0.000274733429708,0.000336752135039,0.000570919343249,0.00027124721394,0.00090593173818
