,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00165842973218,0.000447074560517,0.000204907254925,0.000570039158353,0.000526723904334,0.000464083180296,0.000407159931286,0.000514418149687,0.000334562934283,0.000115065057073,0.000284432246145
GOOGL,0.000447074560517,0.00116522665179,0.000374160934695,0.000780744721681,0.000699743032296,0.000436499427081,0.000500033632647,0.000563921526284,0.000528299003601,0.000330053875447,0.00035403603762
MSFT,0.000204907254925,0.000374160934695,0.000976648713452,0.000466226441322,0.000692608398119,0.000424963017991,0.000469999604798,0.000408805045775,0.000515484453038,0.000204262565989,0.000452922233191
AMZN,0.000570039158353,0.000780744721681,0.000466226441322,0.00189578456968,0.00095289177021,0.000716778809591,0.000618956898159,0.000675207606858,0.000512493656784,0.000402171083439,0.000377834871224
MS,0.000526723904334,0.000699743032296,0.000692608398119,0.00095289177021,0.00298889074489,0.00195136720661,0.00167924020174,0.00123304257812,0.0010821492524,0.000458559193362,0.000829589970848
GS,0.000464083180296,0.000436499427081,0.000424963017991,0.000716778809591,0.00195136720661,0.00164604033676,0.00127367163601,0.000954244350625,0.000825217410691,0.000319178646388,0.000579597672554
JPM,0.000407159931286,0.000500033632647,0.000469999604798,0.000618956898159,0.00167924020174,0.00127367163601,0.00150159235676,0.00086521522777,0.000783202423202,0.000420926823332,0.000695010329169
BLK,0.000514418149687,0.000563921526284,0.000408805045775,0.000675207606858,0.00123304257812,0.000954244350625,0.00086521522777,0.00113315496999,0.000702466125916,0.000423586534867,0.000583270343629
MYL,0.000334562934283,0.000528299003601,0.000515484453038,0.000512493656784,0.0010821492524,0.000825217410691,0.000783202423202,0.000702466125916,0.00163290081464,0.000490450639911,0.000740284568506
PFE,0.000115065057073,0.000330053875447,0.000204262565989,0.000402171083439,0.000458559193362,0.000319178646388,0.000420926823332,0.000423586534867,0.000490450639911,0.000577408812941,0.000269476169365
AET,0.000284432246145,0.00035403603762,0.000452922233191,0.000377834871224,0.000829589970848,0.000579597672554,0.000695010329169,0.000583270343629,0.000740284568506,0.000269476169365,0.00125035863681
