,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00138475997624,0.000317376347451,0.000293630700435,0.000404047887333,0.000429669179201,0.000401533189498,0.000347136423196,0.000455118168569,0.000165254024483,0.000120075109172,6.79212551414e-05
GOOGL,0.000317376347451,0.00123868544494,0.000501983718708,0.000743386638858,0.00050703905116,0.000373474108731,0.00039851405585,0.00053238049699,0.000249133880407,0.000313545115956,0.000197087179407
MSFT,0.000293630700435,0.000501983718708,0.00118490982233,0.000327910604816,0.000402844980845,0.000356441815373,0.000365642769373,0.000493094885633,0.00036514077407,0.000252916328283,0.00020829769518
AMZN,0.000404047887333,0.000743386638858,0.000327910604816,0.00172478148277,0.000506887273132,0.000417807515515,0.000314913346755,0.000571423105802,0.000264106295082,0.000254218277544,0.000161561229248
MS,0.000429669179201,0.00050703905116,0.000402844980845,0.000506887273132,0.00123142759676,0.000832883019152,0.000698961449046,0.000768921766757,0.000490951973093,0.000340848177691,0.000306888546649
GS,0.000401533189498,0.000373474108731,0.000356441815373,0.000417807515515,0.000832883019152,0.000793742329961,0.000627283239363,0.000662361860572,0.000452254483744,0.000292465101831,0.000278588729335
JPM,0.000347136423196,0.00039851405585,0.000365642769373,0.000314913346755,0.000698961449046,0.000627283239363,0.000749610906596,0.000567564855817,0.000360523315581,0.000306267489229,0.000284956303533
BLK,0.000455118168569,0.00053238049699,0.000493094885633,0.000571423105802,0.000768921766757,0.000662361860572,0.000567564855817,0.000982644647988,0.000395500906762,0.000350413005275,0.000307803456746
MYL,0.000165254024483,0.000249133880407,0.00036514077407,0.000264106295082,0.000490951973093,0.000452254483744,0.000360523315581,0.000395500906762,0.00199549106666,0.000351714035989,0.00041817552012
PFE,0.000120075109172,0.000313545115956,0.000252916328283,0.000254218277544,0.000340848177691,0.000292465101831,0.000306267489229,0.000350413005275,0.000351714035989,0.000576565909417,0.000222613367813
AET,6.79212551414e-05,0.000197087179407,0.00020829769518,0.000161561229248,0.000306888546649,0.000278588729335,0.000284956303533,0.000307803456746,0.00041817552012,0.000222613367813,0.000890041457747
