,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.0016018466693,0.00035030840798,0.000162634489472,0.000443811661591,0.000467516793548,0.000427556437256,0.000348498664356,0.00043317029063,0.000236446890918,7.64017686986e-05,0.000209659660467
GOOGL,0.00035030840798,0.000999664174343,0.000307461940711,0.000621651608835,0.000576843309236,0.000364379615138,0.00041355195612,0.000460278662492,0.000387678583638,0.000297436780524,0.000261048771364
MSFT,0.000162634489472,0.000307461940711,0.000934817324912,0.000384481517658,0.000610072254322,0.000379412570732,0.000420516868139,0.000348506744451,0.000411825682571,0.000168379407285,0.000386477396691
AMZN,0.000443811661591,0.000621651608835,0.000384481517658,0.00175881615802,0.000832611234905,0.00064270146853,0.00052160604667,0.000562375762098,0.000301390608793,0.000341604350524,0.00024678526193
MS,0.000467516793548,0.000576843309236,0.000610072254322,0.000832611234905,0.0026999503773,0.00180057483661,0.00154921230044,0.00112367828602,0.000927433890529,0.000418773020877,0.000730742033734
GS,0.000427556437256,0.000364379615138,0.000379412570732,0.00064270146853,0.00180057483661,0.00155822171275,0.00119884931551,0.00088099349419,0.000722437551314,0.000286794537586,0.000519408385586
JPM,0.000348498664356,0.00041355195612,0.000420516868139,0.00052160604667,0.00154921230044,0.00119884931551,0.00142223659526,0.000779635397298,0.000673177972842,0.00038569326309,0.000623876606124
BLK,0.00043317029063,0.000460278662492,0.000348506744451,0.000562375762098,0.00112367828602,0.00088099349419,0.000779635397298,0.00103015314407,0.000542445066063,0.000365186625718,0.000482917187875
MYL,0.000236446890918,0.000387678583638,0.000411825682571,0.000301390608793,0.000927433890529,0.000722437551314,0.000673177972842,0.000542445066063,0.00142771742991,0.000399846764583,0.000598136903375
PFE,7.64017686986e-05,0.000297436780524,0.000168379407285,0.000341604350524,0.000418773020877,0.000286794537586,0.00038569326309,0.000365186625718,0.000399846764583,0.000535162992756,0.000214409436825
AET,0.000209659660467,0.000261048771364,0.000386477396691,0.00024678526193,0.000730742033734,0.000519408385586,0.000623876606124,0.000482917187875,0.000598136903375,0.000214409436825,0.00115674827757
