,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00141202841302,0.000186689079162,0.000122327437608,0.00033767057825,0.000269825603664,0.00027404743602,0.000204731722584,0.00030129876451,0.000169222546852,8.4420006185e-05,4.61457312782e-05
GOOGL,0.000186689079162,0.000898378349608,0.000272729060489,0.000539323029959,0.000338884982238,0.000257029692741,0.000272605909649,0.000302298722186,0.000208715572999,0.000217546712,0.000117657617648
MSFT,0.000122327437608,0.000272729060489,0.000998557649003,8.17335103255e-05,0.000399601239983,0.000298316229179,0.000303098554762,0.000329524293275,0.000308633173466,0.000196368477756,0.000318318432731
AMZN,0.00033767057825,0.000539323029959,8.17335103255e-05,0.00159713285519,0.000445856911336,0.000399213932067,0.000275949557383,0.000420919501946,0.000181040551383,0.000250261979116,4.50360429732e-05
MS,0.000269825603664,0.000338884982238,0.000399601239983,0.000445856911336,0.00162487741564,0.0010447704606,0.000901629905244,0.000749723150147,0.000451671829804,0.00024452862921,0.000406486881938
GS,0.00027404743602,0.000257029692741,0.000298316229179,0.000399213932067,0.0010447704606,0.000968442319732,0.000758061266468,0.0006173277589,0.000431522307687,0.000214186512477,0.00030106372312
JPM,0.000204731722584,0.000272605909649,0.000303098554762,0.000275949557383,0.000901629905244,0.000758061266468,0.000981347147533,0.000513010275822,0.000383143527368,0.000270993640777,0.000414151818615
BLK,0.00030129876451,0.000302298722186,0.000329524293275,0.000420919501946,0.000749723150147,0.0006173277589,0.000513010275822,0.000829055737015,0.00031868104468,0.000289845854033,0.000308158358597
MYL,0.000169222546852,0.000208715572999,0.000308633173466,0.000181040551383,0.000451671829804,0.000431522307687,0.000383143527368,0.00031868104468,0.00122566570867,0.000316892843921,0.00038930746835
PFE,8.4420006185e-05,0.000217546712,0.000196368477756,0.000250261979116,0.00024452862921,0.000214186512477,0.000270993640777,0.000289845854033,0.000316892843921,0.000536706014691,0.000192914157074
AET,4.61457312782e-05,0.000117657617648,0.000318318432731,4.50360429732e-05,0.000406486881938,0.00030106372312,0.000414151818615,0.000308158358597,0.00038930746835,0.000192914157074,0.000962826350372
