,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00170040710118,0.00059025614292,0.000290141423662,0.000621207828906,0.000545179160868,0.000452508462772,0.000408643536154,0.000577076954176,0.000383692094583,6.51908848598e-05,0.000300179603129
GOOGL,0.00059025614292,0.00133788356203,0.00041786367511,0.000823249903289,0.000719087409329,0.000445703604769,0.000553202670267,0.000608121063021,0.000516617737972,0.000316737682447,0.000379903556191
MSFT,0.000290141423662,0.00041786367511,0.000998280357958,0.000555615570938,0.000734583008968,0.000454421938313,0.000486633664428,0.000438155570667,0.000531562504104,0.000193389933129,0.000435027106943
AMZN,0.000621207828906,0.000823249903289,0.000555615570938,0.00187474109031,0.000880638507615,0.000669433871211,0.000659948648085,0.000726785365396,0.000611385617574,0.00035971937107,0.000471564986838
MS,0.000545179160868,0.000719087409329,0.000734583008968,0.000880638507615,0.00309687216754,0.0019609430534,0.00174389090906,0.00127571513535,0.00108096212856,0.000431449922361,0.000816575592385
GS,0.000452508462772,0.000445703604769,0.000454421938313,0.000669433871211,0.0019609430534,0.00164603579233,0.00127356220251,0.000943594655511,0.000751999647621,0.000264311407795,0.000491054953031
JPM,0.000408643536154,0.000553202670267,0.000486633664428,0.000659948648085,0.00174389090906,0.00127356220251,0.00150573148452,0.000888515217065,0.000763343731076,0.000370202632479,0.00065303856639
BLK,0.000577076954176,0.000608121063021,0.000438155570667,0.000726785365396,0.00127571513535,0.000943594655511,0.000888515217065,0.0012323136521,0.000807450109077,0.000406951109661,0.000652564307947
MYL,0.000383692094583,0.000516617737972,0.000531562504104,0.000611385617574,0.00108096212856,0.000751999647621,0.000763343731076,0.000807450109077,0.00139658638411,0.00043085177093,0.000743180996812
PFE,6.51908848598e-05,0.000316737682447,0.000193389933129,0.00035971937107,0.000431449922361,0.000264311407795,0.000370202632479,0.000406951109661,0.00043085177093,0.000586117853837,0.000277604410181
AET,0.000300179603129,0.000379903556191,0.000435027106943,0.000471564986838,0.000816575592385,0.000491054953031,0.00065303856639,0.000652564307947,0.000743180996812,0.000277604410181,0.00127656237805
