,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00127870323885,0.000171727805954,0.000150301070292,0.000304369068716,0.000210730290724,0.000222010427546,0.000138558890507,0.000238997323568,0.00014277675353,8.69319705343e-05,3.64668084963e-05
GOOGL,0.000171727805954,0.000913079508333,0.000341337671164,0.000581053799438,0.000306412852393,0.000218879858995,0.000233601404036,0.000285812944401,0.000246952432247,0.000221406323086,0.000142776462171
MSFT,0.000150301070292,0.000341337671164,0.00109205768989,0.000193449468732,0.000299317263327,0.000257113023776,0.000222008074458,0.000333056421526,0.000412980668415,0.000165207038147,0.000254589478035
AMZN,0.000304369068716,0.000581053799438,0.000193449468732,0.00153566975192,0.00038185244107,0.000330779713503,0.000174441654206,0.000401565910955,0.000248914068278,0.000211216193008,0.000137450805715
MS,0.000210730290724,0.000306412852393,0.000299317263327,0.00038185244107,0.00133354494077,0.000874861272169,0.000682489238079,0.000634098408976,0.000376172851134,0.000192367289562,0.000282561894867
GS,0.000222010427546,0.000218879858995,0.000257113023776,0.000330779713503,0.000874861272169,0.000848036163771,0.000620111006084,0.000542708632669,0.000383581451024,0.000194051491008,0.000257900078645
JPM,0.000138558890507,0.000233601404036,0.000222008074458,0.000174441654206,0.000682489238079,0.000620111006084,0.000749619583797,0.000414266699762,0.000327455247332,0.000227858669642,0.000289583977631
BLK,0.000238997323568,0.000285812944401,0.000333056421526,0.000401565910955,0.000634098408976,0.000542708632669,0.000414266699762,0.000768320656789,0.00029284989468,0.000271970344115,0.00025967099965
MYL,0.00014277675353,0.000246952432247,0.000412980668415,0.000248914068278,0.000376172851134,0.000383581451024,0.000327455247332,0.00029284989468,0.00151044091019,0.000339930520922,0.000331315656287
PFE,8.69319705343e-05,0.000221406323086,0.000165207038147,0.000211216193008,0.000192367289562,0.000194051491008,0.000227858669642,0.000271970344115,0.000339930520922,0.000510311243408,0.000181356275775
AET,3.64668084963e-05,0.000142776462171,0.000254589478035,0.000137450805715,0.000282561894867,0.000257900078645,0.000289583977631,0.00025967099965,0.000331315656287,0.000181356275775,0.00069323393681
