,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00173881137155,0.00054521820373,0.00025739675168,0.000641385151166,0.000560293524173,0.000464855394209,0.000423136714443,0.000559541360461,0.000321229936136,8.91058077273e-05,0.000273694364875
GOOGL,0.00054521820373,0.00132044223873,0.000412394437298,0.000756611027637,0.000684263438457,0.000429379808513,0.000538220895561,0.000569994084968,0.00050182996039,0.000325527102278,0.000351449989187
MSFT,0.00025739675168,0.000412394437298,0.000997435972028,0.000517593672692,0.000705387936446,0.000446645299931,0.000478394826916,0.000424821756781,0.000539407952821,0.000194864362036,0.000430851634205
AMZN,0.000641385151166,0.000756611027637,0.000517593672692,0.00186298638521,0.000876948002308,0.000671239279081,0.000628668643578,0.000698679684119,0.000556393990166,0.000386574407521,0.000454227557209
MS,0.000560293524173,0.000684263438457,0.000705387936446,0.000876948002308,0.00308747500468,0.0019659464315,0.00172840823725,0.00126853262758,0.00106828147282,0.000450345096972,0.000813879283874
GS,0.000464855394209,0.000429379808513,0.000446645299931,0.000671239279081,0.0019659464315,0.00165879852546,0.00127164047871,0.000945141040317,0.000749521350224,0.000270114050553,0.000499981314021
JPM,0.000423136714443,0.000538220895561,0.000478394826916,0.000628668643578,0.00172840823725,0.00127164047871,0.00149955239172,0.000877013135325,0.000737965277433,0.000387023741231,0.00064857130367
BLK,0.000559541360461,0.000569994084968,0.000424821756781,0.000698679684119,0.00126853262758,0.000945141040317,0.000877013135325,0.00119193703323,0.000776605976367,0.000417883874308,0.000623139489468
MYL,0.000321229936136,0.00050182996039,0.000539407952821,0.000556393990166,0.00106828147282,0.000749521350224,0.000737965277433,0.000776605976367,0.00149282622203,0.000425240168992,0.000741942096079
PFE,8.91058077273e-05,0.000325527102278,0.000194864362036,0.000386574407521,0.000450345096972,0.000270114050553,0.000387023741231,0.000417883874308,0.000425240168992,0.000572657396017,0.000270917507894
AET,0.000273694364875,0.000351449989187,0.000430851634205,0.000454227557209,0.000813879283874,0.000499981314021,0.00064857130367,0.000623139489468,0.000741942096079,0.000270917507894,0.00125442981138
