,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00173580013226,0.000601781919778,0.000289270771702,0.000649222322278,0.000528253064361,0.000477358112362,0.000405121737424,0.000593733156137,0.000391654559645,7.71629817771e-05,0.000337257315074
GOOGL,0.000601781919778,0.00133726486991,0.000425490819932,0.000835162085413,0.000698977022117,0.000451130807531,0.000546352795101,0.000604260446009,0.000503552758645,0.00031739544992,0.000387702048332
MSFT,0.000289270771702,0.000425490819932,0.000994868481219,0.000565703920734,0.000735452350189,0.00046428029476,0.000490497535226,0.000443271874358,0.000546099345173,0.000196155214,0.000446616187887
AMZN,0.000649222322278,0.000835162085413,0.000565703920734,0.00190980953602,0.000856621129959,0.000690335558159,0.000649221852493,0.000729434387367,0.000604920137515,0.000366608748603,0.000498757472123
MS,0.000528253064361,0.000698977022117,0.000735452350189,0.000856621129959,0.00303236071883,0.001932787551,0.0017188809431,0.00123742512052,0.00107005952782,0.000420134428486,0.000832348882095
GS,0.000477358112362,0.000451130807531,0.00046428029476,0.000690335558159,0.001932787551,0.00165300721557,0.00125576294334,0.000938808779299,0.000739554624692,0.000264795643125,0.000506882187154
JPM,0.000405121737424,0.000546352795101,0.000490497535226,0.000649221852493,0.0017188809431,0.00125576294334,0.00148767986771,0.000869815138126,0.000753272250425,0.00035896246193,0.000645590449824
BLK,0.000593733156137,0.000604260446009,0.000443271874358,0.000729434387367,0.00123742512052,0.000938808779299,0.000869815138126,0.00122531764692,0.000795556060809,0.000394565593148,0.000648564574629
MYL,0.000391654559645,0.000503552758645,0.000546099345173,0.000604920137515,0.00107005952782,0.000739554624692,0.000753272250425,0.000795556060809,0.00135738105472,0.000425560167847,0.000721429592727
PFE,7.71629817771e-05,0.00031739544992,0.000196155214,0.000366608748603,0.000420134428486,0.000264795643125,0.00035896246193,0.000394565593148,0.000425560167847,0.000608607647792,0.000329030640724
AET,0.000337257315074,0.000387702048332,0.000446616187887,0.000498757472123,0.000832348882095,0.000506882187154,0.000645590449824,0.000648564574629,0.000721429592727,0.000329030640724,0.00136010389806
