,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00165163793899,0.000436507754757,0.000188125779238,0.000527213598135,0.000507915424142,0.000450453234615,0.00039302770942,0.000483131008276,0.000286118148209,8.78788427571e-05,0.000255146059275
GOOGL,0.000436507754757,0.00116065383033,0.000361438187387,0.000778927038654,0.00064559984062,0.000405621894161,0.000480244547008,0.000546145189019,0.000492394193718,0.000321283308734,0.000340723142753
MSFT,0.000188125779238,0.000361438187387,0.000952943947067,0.000443219288018,0.000626826748355,0.00038501343911,0.00043956976175,0.000373551910472,0.000452232297462,0.00017966324788,0.000421028326823
AMZN,0.000527213598135,0.000778927038654,0.000443219288018,0.00192727475047,0.000888045250146,0.000663948635357,0.00058020336578,0.000641132660063,0.00043022113596,0.000376734943089,0.000346432957618
MS,0.000507915424142,0.00064559984062,0.000626826748355,0.000888045250146,0.00273459423651,0.00182521560084,0.00158639412347,0.0011624119693,0.000968900213204,0.000426436921982,0.00076218432952
GS,0.000450453234615,0.000405621894161,0.00038501343911,0.000663948635357,0.00182521560084,0.00158040497374,0.00122263682868,0.000903814544323,0.000744809771062,0.000288393161774,0.00053136749565
JPM,0.00039302770942,0.000480244547008,0.00043956976175,0.00058020336578,0.00158639412347,0.00122263682868,0.0014631499274,0.00082250838343,0.000711387069744,0.000393401152754,0.000656483632249
BLK,0.000483131008276,0.000546145189019,0.000373551910472,0.000641132660063,0.0011624119693,0.000903814544323,0.00082250838343,0.00107744224058,0.000601355732366,0.000378793793832,0.000529716058834
MYL,0.000286118148209,0.000492394193718,0.000452232297462,0.00043022113596,0.000968900213204,0.000744809771062,0.000711387069744,0.000601355732366,0.00145746482479,0.000407127804803,0.000641556419185
PFE,8.78788427571e-05,0.000321283308734,0.00017966324788,0.000376734943089,0.000426436921982,0.000288393161774,0.000393401152754,0.000378793793832,0.000407127804803,0.00053803348089,0.000227239893336
AET,0.000255146059275,0.000340723142753,0.000421028326823,0.000346432957618,0.00076218432952,0.00053136749565,0.000656483632249,0.000529716058834,0.000641556419185,0.000227239893336,0.00120175050968
