,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.0017136807167,0.000497727615955,0.000248424872229,0.00060572855007,0.000585443339609,0.000487001527739,0.000444617199831,0.000533919200401,0.000367804975494,0.00012163848578,0.000292792842563
GOOGL,0.000497727615955,0.00129933347104,0.000402451034727,0.000797863259391,0.000720255848526,0.000444039040739,0.000528365905113,0.000563183082786,0.00052086680587,0.000333976672943,0.000359497157943
MSFT,0.000248424872229,0.000402451034727,0.000990867028354,0.000500536886443,0.000724205771133,0.000435124469405,0.000486033567892,0.00043916956303,0.000542757951507,0.00021266138842,0.000459357372717
AMZN,0.00060572855007,0.000797863259391,0.000500536886443,0.00194337096098,0.00096641546889,0.000726292587535,0.000633406335517,0.000702204054383,0.000559978664538,0.000399186027873,0.000382663980046
MS,0.000585443339609,0.000720255848526,0.000724205771133,0.00096641546889,0.00317050861498,0.00200634242296,0.00177259435613,0.00131014457962,0.00114929362351,0.000511462082935,0.000866024024381
GS,0.000487001527739,0.000444039040739,0.000435124469405,0.000726292587535,0.00200634242296,0.00166939219322,0.00130593210732,0.000983901121021,0.00083711757197,0.000332907931504,0.000583405669815
JPM,0.000444617199831,0.000528365905113,0.000486033567892,0.000633406335517,0.00177259435613,0.00130593210732,0.00155106493585,0.000915989476761,0.000817055286832,0.000452449791524,0.000716843046483
BLK,0.000533919200401,0.000563183082786,0.00043916956303,0.000702204054383,0.00131014457962,0.000983901121021,0.000915989476761,0.00119384029631,0.000764836689517,0.000458441840342,0.000619725080573
MYL,0.000367804975494,0.00052086680587,0.000542757951507,0.000559978664538,0.00114929362351,0.00083711757197,0.000817055286832,0.000764836689517,0.00170489123389,0.000521415502312,0.000772141365108
PFE,0.00012163848578,0.000333976672943,0.00021266138842,0.000399186027873,0.000511462082935,0.000332907931504,0.000452449791524,0.000458441840342,0.000521415502312,0.00059977531025,0.000289329491757
AET,0.000292792842563,0.000359497157943,0.000459357372717,0.000382663980046,0.000866024024381,0.000583405669815,0.000716843046483,0.000619725080573,0.000772141365108,0.000289329491757,0.00126821017544
