,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.0017005402818,0.000475208400846,0.000229900350755,0.000580649249848,0.000568961650437,0.000478295491716,0.000431248494002,0.000518442964596,0.000341983146512,0.000113509694634,0.000279314274388
GOOGL,0.000475208400846,0.00124683370436,0.000366626109409,0.000757822301661,0.000680194221309,0.000413372738323,0.000491421250791,0.00052874913307,0.000485248426943,0.000315152293961,0.000335269447753
MSFT,0.000229900350755,0.000366626109409,0.000964705357114,0.000467379472957,0.000698219636367,0.000418339190665,0.000462832676673,0.000416225645834,0.00051312229217,0.000200221348758,0.000442041690808
AMZN,0.000580649249848,0.000757822301661,0.000467379472957,0.00189689296866,0.000937757836616,0.000712773433171,0.000610894981398,0.000674810140968,0.000514413351968,0.000385422718814,0.000360401219731
MS,0.000568961650437,0.000680194221309,0.000698219636367,0.000937757836616,0.00314085317413,0.00198251980052,0.00174338739459,0.0012858160416,0.00112615446689,0.000497172177443,0.000848392062093
GS,0.000478295491716,0.000413372738323,0.000418339190665,0.000712773433171,0.00198251980052,0.00164607976539,0.00128091788064,0.000965510814777,0.000829694708344,0.00032187711633,0.000572701078708
JPM,0.000431248494002,0.000491421250791,0.000462832676673,0.000610894981398,0.00174338739459,0.00128091788064,0.00152357133744,0.00089137635538,0.000799047080147,0.000439278082112,0.000702182853827
BLK,0.000518442964596,0.00052874913307,0.000416225645834,0.000674810140968,0.0012858160416,0.000965510814777,0.00089137635538,0.00117419659936,0.000742489406949,0.00044617681502,0.000603533615432
MYL,0.000341983146512,0.000485248426943,0.00051312229217,0.000514413351968,0.00112615446689,0.000829694708344,0.000799047080147,0.000742489406949,0.00166523298463,0.000510411174704,0.0007549813566
PFE,0.000113509694634,0.000315152293961,0.000200221348758,0.000385422718814,0.000497172177443,0.00032187711633,0.000439278082112,0.00044617681502,0.000510411174704,0.000593282755839,0.000281756278815
AET,0.000279314274388,0.000335269447753,0.000442041690808,0.000360401219731,0.000848392062093,0.000572701078708,0.000702182853827,0.000603533615432,0.0007549813566,0.000281756278815,0.0012595299544
