,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00117371807612,0.000505871783863,0.000426457105665,0.000487446831878,0.000427554795816,0.000401029419594,0.000414503241503,0.000470794618107,0.000334339355146,0.000216153794396,0.000176552455887
GOOGL,0.000505871783863,0.00128673544503,0.000592475454376,0.000808596759245,0.000529942674972,0.000413526421596,0.000436172272846,0.00056966510613,0.000288491572967,0.000330464232633,0.000186406811015
MSFT,0.000426457105665,0.000592475454376,0.00113008377143,0.000427514267726,0.000464736920653,0.00040545168796,0.000422103588394,0.000522471552106,0.000412434885829,0.000291146355447,0.000201048707815
AMZN,0.000487446831878,0.000808596759245,0.000427514267726,0.00184490767251,0.000545036225898,0.000415924820268,0.000332574442872,0.000512389287343,0.000265758420533,0.000278277533017,0.000139631151126
MS,0.000427554795816,0.000529942674972,0.000464736920653,0.000545036225898,0.00131456202102,0.00091313455653,0.000789610067083,0.000778899128757,0.000600401936555,0.000361729469491,0.000364643198123
GS,0.000401029419594,0.000413526421596,0.00040545168796,0.000415924820268,0.00091313455653,0.000871872086364,0.000683281747996,0.00065317734306,0.000516607702261,0.000261185515808,0.000315148640274
JPM,0.000414503241503,0.000436172272846,0.000422103588394,0.000332574442872,0.000789610067083,0.000683281747996,0.000786042680563,0.000600432225993,0.000346382681388,0.000297276466552,0.000283712489773
BLK,0.000470794618107,0.00056966510613,0.000522471552106,0.000512389287343,0.000778899128757,0.00065317734306,0.000600432225993,0.000898046574132,0.000412867140973,0.000313999802408,0.000297160697865
MYL,0.000334339355146,0.000288491572967,0.000412434885829,0.000265758420533,0.000600401936555,0.000516607702261,0.000346382681388,0.000412867140973,0.00254855910423,0.000364082899423,0.000582677419364
PFE,0.000216153794396,0.000330464232633,0.000291146355447,0.000278277533017,0.000361729469491,0.000261185515808,0.000297276466552,0.000313999802408,0.000364082899423,0.000577824286456,0.000241904439059
AET,0.000176552455887,0.000186406811015,0.000201048707815,0.000139631151126,0.000364643198123,0.000315148640274,0.000283712489773,0.000297160697865,0.000582677419364,0.000241904439059,0.000934872498573
