,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00141957920558,0.00019174309001,0.000133537520764,0.000264056267396,0.000267497866725,0.000271786225765,0.00023098771036,0.000296743913984,0.00015913814265,5.57704182019e-05,5.11315875265e-05
GOOGL,0.00019174309001,0.000884796385813,0.000239636202723,0.000466846059573,0.000313638368957,0.000209692849042,0.000252515563696,0.000288782228018,0.000250682878303,0.000235029214427,0.000120730562842
MSFT,0.000133537520764,0.000239636202723,0.000863360290614,0.000195719046158,0.000390475466623,0.000266018117241,0.000286168782401,0.00024885064654,0.000281099585632,0.000122092870041,0.000303507179596
AMZN,0.000264056267396,0.000466846059573,0.000195719046158,0.00151286730924,0.000495490411758,0.0004312332345,0.000297073077768,0.000400825591289,0.000201198100056,0.000274703391534,8.01337843316e-05
MS,0.000267497866725,0.000313638368957,0.000390475466623,0.000495490411758,0.00172817565987,0.00111299177089,0.000916902795728,0.000679001601433,0.000413693359599,0.000213529035884,0.000386352133815
GS,0.000271786225765,0.000209692849042,0.000266018117241,0.0004312332345,0.00111299177089,0.00102437618206,0.000762152597646,0.000566695645069,0.000398502020162,0.000183475674253,0.000279768202475
JPM,0.00023098771036,0.000252515563696,0.000286168782401,0.000297073077768,0.000916902795728,0.000762152597646,0.000996917824659,0.00047174728838,0.000348499441838,0.000250714222393,0.000405437438079
BLK,0.000296743913984,0.000288782228018,0.00024885064654,0.000400825591289,0.000679001601433,0.000566695645069,0.00047174728838,0.000791469918214,0.0002722011445,0.000245384106278,0.000281466394667
MYL,0.00015913814265,0.000250682878303,0.000281099585632,0.000201198100056,0.000413693359599,0.000398502020162,0.000348499441838,0.0002722011445,0.00116015339514,0.000283786107119,0.000372647024782
PFE,5.57704182019e-05,0.000235029214427,0.000122092870041,0.000274703391534,0.000213529035884,0.000183475674253,0.000250714222393,0.000245384106278,0.000283786107119,0.000476818605381,0.000160168403978
AET,5.11315875265e-05,0.000120730562842,0.000303507179596,8.01337843316e-05,0.000386352133815,0.000279768202475,0.000405437438079,0.000281466394667,0.000372647024782,0.000160168403978,0.000962392645727
