,AAPL,GOOGL,MSFT,AMZN,MS,GS,JPM,BLK,MYL,PFE,AET
AAPL,0.00130327491795,0.000169662995797,0.000152283878503,0.000308475466264,0.000208709269621,0.00022210534009,0.000135828854964,0.000241055322478,0.000167694148269,7.49168844351e-05,6.2897905914e-05
GOOGL,0.000169662995797,0.00092778969739,0.000350113877136,0.000593732879886,0.000316660366927,0.000226220050129,0.000241771750258,0.000290979359662,0.000263231987462,0.000229367375703,0.000155511065486
MSFT,0.000152283878503,0.000350113877136,0.00110032435843,0.000211755386695,0.000329844277501,0.000268417619166,0.000257358278538,0.000338790923465,0.000411854929154,0.000176192991168,0.000279108101689
AMZN,0.000308475466264,0.000593732879886,0.000211755386695,0.00155591701114,0.000416397575905,0.000345765534603,0.000203969906725,0.000412686375507,0.000260096396866,0.000224732612347,0.000150442453069
MS,0.000208709269621,0.000316660366927,0.000329844277501,0.000416397575905,0.00139736513468,0.000900942906383,0.000731925621548,0.000672236810757,0.000382640488191,0.000224576000089,0.000303724221143
GS,0.00022210534009,0.000226220050129,0.000268417619166,0.000345765534603,0.000900942906383,0.000864449249695,0.000634963922491,0.000563990103972,0.000399781683573,0.000206945880284,0.000266141741146
JPM,0.000135828854964,0.000241771750258,0.000257358278538,0.000203969906725,0.000731925621548,0.000634963922491,0.000805460590487,0.000443755822052,0.000342212030477,0.000258685655036,0.000326985139046
BLK,0.000241055322478,0.000290979359662,0.000338790923465,0.000412686375507,0.000672236810757,0.000563990103972,0.000443755822052,0.00078932032289,0.000304180299232,0.000280153225157,0.000282017664979
MYL,0.000167694148269,0.000263231987462,0.000411854929154,0.000260096396866,0.000382640488191,0.000399781683573,0.000342212030477,0.000304180299232,0.00149654338366,0.000336613693656,0.00038670529621
PFE,7.49168844351e-05,0.000229367375703,0.000176192991168,0.000224732612347,0.000224576000089,0.000206945880284,0.000258685655036,0.000280153225157,0.000336613693656,0.000521495175795,0.000181859773927
AET,6.2897905914e-05,0.000155511065486,0.000279108101689,0.000150442453069,0.000303724221143,0.000266141741146,0.000326985139046,0.000282017664979,0.00038670529621,0.000181859773927,0.000760947017424
