Date,Open,High,Low,Close,Adj Close,Volume
2013-06-04,163.460007,165.740005,160.500000,153.163986,161.679993,3977300
2013-06-05,161.429993,162.889999,157.550003,149.961990,158.300003,4138300
2013-06-06,158.300003,159.789993,156.339996,151.269318,159.679993,3243900
2013-06-07,160.970001,166.169998,160.589996,157.265884,166.009995,5690300
2013-06-10,166.699997,168.199997,165.289993,158.667953,167.490005,3914200
2013-06-11,165.350006,166.399994,163.190002,154.708115,163.309998,3858100
2013-06-12,164.979996,164.979996,161.070007,153.334488,161.860001,3243300
2013-06-13,161.199997,166.389999,161.070007,157.085938,165.820007,3768500
2013-06-14,165.740005,166.110001,162.910004,154.338654,162.919998,2970600
2013-06-17,164.080002,165.669998,162.899994,155.465973,164.110001,2628300
2013-06-18,164.149994,164.869995,163.050003,155.503891,164.149994,2060700
2013-06-19,164.160004,164.929993,161.509995,153.050278,161.559998,3557100
2013-06-20,159.149994,159.990005,154.839996,147.224228,155.410004,6488600
2013-06-21,157.000000,157.259995,152.300003,146.125320,154.250000,5390200
2013-06-24,151.990005,152.600006,148.710007,142.838089,150.779999,4013200
2013-06-25,152.449997,154.309998,151.550003,144.997971,153.059998,3274600
2013-06-26,154.479996,154.559998,150.750000,143.671753,151.660004,3580400
2013-06-27,153.029999,154.990005,152.610001,145.424286,153.509995,2654900
2013-06-28,152.690002,152.770004,151.000000,143.283340,151.250000,3011300
2013-07-01,152.779999,154.100006,151.699997,143.757004,151.750000,2496100
2013-07-02,151.160004,153.190002,149.899994,142.970703,150.919998,3091600
2013-07-03,149.619995,151.419998,149.279999,142.506500,150.429993,1267700
2013-07-05,152.300003,153.289993,151.500000,145.168518,153.240005,2243700
2013-07-08,154.580002,154.800003,152.880005,145.708481,153.809998,2699100
2013-07-09,154.990005,157.440002,153.169998,148.673660,156.940002,3127100
2013-07-10,156.570007,157.619995,154.669998,147.622116,155.830002,2430100
2013-07-11,158.500000,159.740005,156.110001,149.403076,157.710007,2965700
2013-07-12,158.619995,160.279999,158.550003,151.676651,160.110001,2844600
2013-07-15,162.800003,163.389999,161.160004,154.414444,163.000000,4129900
2013-07-16,163.919998,164.300003,159.429993,151.799805,160.240005,5972700
2013-07-17,159.839996,161.990005,159.500000,152.993439,161.500000,3715000
2013-07-18,161.580002,164.580002,161.500000,155.418564,164.059998,3462700
2013-07-19,163.750000,164.850006,162.580002,155.702820,164.360001,3329700
2013-07-22,163.949997,166.330002,163.880005,157.493271,166.250000,2741100
2013-07-23,166.500000,167.410004,165.479996,157.502716,166.259995,2545400
2013-07-24,166.750000,166.889999,164.440002,156.347000,165.039993,2548100
2013-07-25,164.279999,166.000000,163.690002,157.171158,165.910004,2236200
2013-07-26,165.050003,165.649994,164.270004,156.555405,165.259995,2372200
2013-07-29,164.630005,164.830002,162.020004,154.575485,163.169998,2823600
2013-07-30,163.490005,164.009995,162.330002,153.874481,162.429993,2553300
2013-07-31,162.529999,165.970001,162.429993,155.390167,164.029999,3700300
2013-08-01,165.740005,167.899994,164.880005,158.667953,167.490005,3251900
2013-08-02,166.830002,167.899994,166.460007,158.791107,167.619995,1866700
2013-08-05,167.279999,169.690002,166.440002,159.454224,168.320007,2618400
2013-08-06,168.070007,168.279999,164.470001,156.100693,164.779999,3598500
2013-08-07,164.000000,164.229996,162.050003,154.840744,163.449997,2131000
2013-08-08,164.750000,166.429993,162.830002,154.262863,162.839996,2818400
2013-08-09,162.399994,164.100006,162.020004,153.590271,162.130005,2012000
2013-08-12,161.729996,162.380005,160.550003,153.173462,161.690002,1982000
