Date,Open,High,Low,Close,Adj Close,Volume
2013-06-04,64.745712,64.918571,63.912857,59.218201,64.187141,73182200
2013-06-05,63.664288,64.388573,63.387142,58.664639,63.587143,72647400
2013-06-06,63.638573,63.857143,62.007141,57.788189,62.637142,104233500
2013-06-07,62.357143,63.320000,61.824287,58.229721,63.115715,101133900
2013-06-10,63.532856,64.154289,62.400002,57.844868,62.698570,112538300
2013-06-11,62.248573,63.251427,61.902859,57.674843,62.514286,71528100
2013-06-12,62.785713,63.035713,61.642857,56.961819,61.741428,66306800
2013-06-13,61.785713,62.448570,61.250000,57.458694,62.279999,71458100
2013-06-14,62.200001,62.327145,61.214287,56.679771,61.435715,67966500
2013-06-17,61.634285,62.242859,61.480000,56.936783,61.714287,64853600
2013-06-18,61.651428,62.128571,61.458572,56.906464,61.681427,48756400
2013-06-19,61.628571,61.665714,60.428570,55.750591,60.428570,77735000
2013-06-20,59.900002,60.854286,59.310001,54.938721,59.548573,89327700
2013-06-21,59.784286,60.000000,58.299999,54.498512,59.071430,120279600
2013-06-24,58.200001,58.380001,56.864285,53.054005,57.505714,120186500
2013-06-25,57.957142,58.255714,56.975716,53.065857,57.518570,78540700
2013-06-26,57.700001,57.827145,56.522858,52.464867,56.867142,91931000
2013-06-27,57.035713,57.341427,56.220001,51.899441,56.254284,84311500
2013-06-28,55.908573,57.181427,55.552856,52.261902,56.647144,144629100
2013-07-01,57.527142,58.895714,57.317142,53.934414,58.459999,97763400
2013-07-02,58.565716,60.232857,58.495716,55.156181,59.784286,117466300
2013-07-03,60.122856,60.425713,59.635715,55.460636,60.114285,60232200
2013-07-05,60.055714,60.470001,59.335712,55.015156,59.631428,68506200
2013-07-08,60.015713,60.142857,58.664288,54.702801,59.292858,74534600
2013-07-09,59.085712,60.500000,58.625713,55.664921,60.335712,88146100
2013-07-10,59.942856,60.685715,59.750000,55.451416,60.104286,70351400
2013-07-11,60.421429,61.178570,60.167141,56.316010,61.041428,81573100
2013-07-12,61.092857,61.398571,60.487144,56.213207,60.930000,69890800
2013-07-15,60.715714,61.637142,60.685715,56.335766,61.062859,60479300
2013-07-16,60.931427,61.529999,60.595715,56.699543,61.457142,54134500
2013-07-17,61.385715,61.745716,61.174286,56.714043,61.472858,49747600
2013-07-18,61.911430,62.124287,61.515713,56.905144,61.680000,54719700
2013-07-19,61.871429,61.997143,60.621429,56.007595,60.707142,67180400
2013-07-22,61.351429,61.392857,60.781429,56.186848,60.901428,51949100
2013-07-23,60.857143,60.994286,59.815716,55.222076,59.855713,92348900
2013-07-24,62.704285,63.512856,62.180000,58.058376,62.930000,147984200
2013-07-25,62.957142,63.057144,62.258572,57.793461,62.642857,57373400
2013-07-26,62.185715,63.005714,62.048573,58.121647,62.998573,50038100
2013-07-29,62.971428,64.284286,62.885715,59.017876,63.970001,62014400
2013-07-30,64.279999,65.307144,64.175713,59.746723,64.760002,77355600
2013-07-31,64.998573,65.334282,64.204285,59.642593,64.647141,80739400
2013-08-01,65.107140,65.257141,64.751427,60.189548,65.239998,51562700
2013-08-02,65.430000,66.121429,65.237144,60.961891,66.077141,68695900
2013-08-05,66.384285,67.238571,66.021431,61.872612,67.064285,79713900
2013-08-06,66.860001,67.412857,66.024284,61.319054,66.464287,83714400
2013-08-07,66.257141,66.714287,65.967140,61.283482,66.425713,74714500
2013-08-08,66.265717,66.300003,65.421425,61.161423,65.858574,63944300
2013-08-09,65.519997,65.779999,64.807144,60.291107,64.921425,66716300
2013-08-12,65.265717,66.949997,65.232857,62.003860,66.765717,91108500
2013-08-13,67.277145,70.665718,66.864288,64.950417,69.938568,220485300
2013-08-14,71.125717,72.035713,70.485718,66.135162,71.214287,189093100
2013-08-15,70.917145,71.771431,69.868568,66.056870,71.129997,122573500
2013-08-16,71.449997,71.848572,71.265717,66.643288,71.761429,90576500
2013-08-19,72.048569,73.391426,72.000000,67.361015,72.534286,127629600
2013-08-20,72.815712,72.938568,71.545715,66.476105,71.581429,89672100
2013-08-21,71.941429,72.449997,71.599998,66.647255,71.765717,83969900
2013-08-22,72.139999,72.227142,71.171425,66.726860,71.851425,61051900
2013-08-23,71.895714,71.907143,71.335716,66.469475,71.574287,55682900
2013-08-26,71.535713,72.885712,71.500000,66.728195,71.852859,82741400
2013-08-27,71.142860,71.787140,69.471428,64.820412,69.798569,106047200
2013-08-28,69.428574,70.828575,69.428574,65.126869,70.128571,76902000
2013-08-29,70.235718,70.928574,70.161430,65.233009,70.242859,59914400
2013-08-30,70.285713,70.421425,69.500000,64.638657,69.602859,68074300
2013-09-03,70.442856,71.514282,69.621429,64.819084,69.797142,82982200
2013-09-04,71.365715,71.748573,70.897141,66.160378,71.241432,86258200
2013-09-05,71.464287,71.525711,70.519997,65.706650,70.752853,59091900
2013-09-06,71.205711,71.339996,69.992859,66.097992,71.174286,89881400
2013-09-09,72.142860,72.559998,71.925713,67.152702,72.309998,85171800
2013-09-10,72.314285,72.492859,69.928574,65.623047,70.662857,185798900
2013-09-11,66.715714,67.669998,66.401428,62.050289,66.815712,224674100
2013-09-12,66.928574,67.914284,66.572861,62.710987,67.527145,101012800
2013-09-13,67.048569,67.404289,66.385712,61.677494,66.414284,74708900
2013-09-16,65.857140,65.944283,63.888573,59.716660,64.302856,135926700
2013-09-17,63.994286,65.672859,63.928570,60.406540,65.045715,99845200
2013-09-18,66.168571,66.621429,65.808571,61.648312,66.382858,114215500
2013-09-19,67.242859,67.975716,67.035713,62.659233,67.471428,101135300
2013-09-20,68.285713,68.364288,66.571426,62.010498,66.772858,174825700
2013-09-23,70.871429,70.987144,68.942856,65.092384,70.091431,190526700
2013-09-24,70.697144,70.781425,69.688568,64.888077,69.871429,91086100
2013-09-25,69.885712,69.948570,68.775711,63.883774,68.790001,79239300
2013-09-26,69.428574,69.794289,69.128571,64.505981,69.459999,59305400
2013-09-27,69.111427,69.238571,68.674286,64.045631,68.964287,57010100
2013-09-30,68.178574,68.808571,67.772858,63.249615,68.107140,65039100
2013-10-01,68.349998,69.877144,68.339996,64.736839,69.708572,88470900
2013-10-02,69.375717,70.257141,69.107140,64.949089,69.937141,72296000
2013-10-03,70.072861,70.335716,68.677139,64.133186,69.058571,80688300
2013-10-04,69.122856,69.228569,68.371429,64.082787,69.004288,64717100
2013-10-07,69.508568,70.378571,69.335716,64.708969,69.678574,78073100
2013-10-08,69.991432,70.091431,68.648575,63.805492,68.705711,72729300
2013-10-09,69.234283,69.684288,68.325714,64.555077,69.512856,75431300
2013-10-10,70.188568,70.339996,69.577141,64.959709,69.948570,69650700
2013-10-11,69.570000,70.548569,69.308571,65.380264,70.401428,66934700
2013-10-14,69.975716,71.082855,69.907143,65.808784,70.862854,65474500
2013-10-15,71.072861,71.714287,70.788574,66.159027,71.239998,80018400
2013-10-16,71.541428,71.790001,71.318573,66.481415,71.587143,62775300
2013-10-17,71.425713,72.111427,71.382858,66.931152,72.071426,63398300
2013-10-18,72.284286,72.751427,72.244286,67.513580,72.698570,72635500
2013-10-21,73.110001,74.900002,73.074287,69.167938,74.480003,99526700
2013-10-22,75.201431,75.492859,72.575714,68.970276,74.267143,133515900
2013-10-23,74.142860,75.095711,74.142860,69.645561,74.994286,78430800
2013-10-24,75.000000,76.067146,74.635712,70.567619,75.987144,96191200
2013-10-25,75.902855,76.175713,75.015717,69.778229,75.137146,84448000
2013-10-28,75.577141,75.857140,74.744286,70.298279,75.697144,137610200
2013-10-29,76.610001,77.035713,73.505714,68.547066,73.811432,158951800
2013-10-30,74.230003,75.360001,73.860001,69.637596,74.985718,88540900
2013-10-31,75.000000,75.355713,74.467140,69.345726,74.671425,68924100
2013-11-01,74.860001,74.971428,73.691429,68.991508,74.290001,68722500
2013-11-04,74.442856,75.260002,74.115715,69.883018,75.250000,61156900
2013-11-05,74.940002,75.555717,74.714287,69.710571,75.064285,66303300
2013-11-06,74.878571,74.980003,74.028572,69.513077,74.417145,55843900
2013-11-07,74.225716,74.741432,73.197144,68.388130,73.212860,65655100
