Date,Open,High,Low,Close,Adj Close,Volume
2013-06-04,278.730011,281.579987,274.690002,248.757507,276.279999,719000
2013-06-05,275.899994,277.779999,263.109985,240.375000,266.970001,1305900
2013-06-06,265.390015,269.230011,260.519989,243.727509,268.989990,1409400
2013-06-07,272.989990,280.690002,269.769989,253.911865,280.230011,899200
2013-06-10,279.049988,282.910004,276.410004,254.917694,281.339996,695300
2013-06-11,279.390015,279.730011,275.170013,250.260361,276.200012,644000
2013-06-12,278.369995,280.000000,268.529999,243.772812,269.040009,866600
2013-06-13,268.779999,272.700012,264.709991,246.844467,272.429993,1162700
2013-06-14,272.359985,273.700012,268.049988,244.398026,269.730011,761600
2013-06-17,272.559998,278.079987,271.000000,250.070145,275.989990,762700
2013-06-18,277.380005,279.329987,274.769989,250.523132,276.489990,506500
2013-06-19,276.890015,278.209991,268.230011,243.247284,268.459991,832100
2013-06-20,264.720001,265.920013,250.550003,228.342224,252.009995,2373400
2013-06-21,258.510010,258.649994,241.990005,225.315903,248.669998,2622500
2013-06-24,246.389999,248.300003,240.600006,222.561386,245.630005,1564400
2013-06-25,249.610001,253.869995,247.649994,228.858673,252.580002,1258400
2013-06-26,252.330002,259.399994,252.330002,233.805923,258.040009,1028400
2013-06-27,257.350006,265.500000,257.350006,239.260513,264.059998,1042100
2013-06-28,263.880005,263.880005,256.230011,232.727661,256.850006,1407100
2013-07-01,257.609985,261.600006,255.809998,232.057129,256.109985,835800
2013-07-02,255.910004,259.399994,254.710007,232.700500,256.820007,483300
2013-07-03,254.490005,257.220001,253.000000,231.286987,255.259995,248300
2013-07-05,257.820007,258.940002,253.380005,233.099167,257.260010,596200
2013-07-08,259.980011,260.549988,255.869995,232.881668,257.019989,844400
2013-07-09,259.399994,263.769989,255.240005,238.644394,263.380005,939100
2013-07-10,265.000000,266.320007,262.399994,239.849442,264.709991,885000
2013-07-11,267.570007,272.029999,266.950012,244.542953,269.890015,932200
2013-07-12,269.500000,269.790009,265.730011,244.407074,269.739990,675100
2013-07-15,270.170013,271.170013,269.019989,244.470520,269.809998,463100
2013-07-16,270.059998,273.470001,265.500000,243.147675,268.350006,661300
2013-07-17,268.809998,272.290009,268.149994,246.717636,272.290009,1074800
2013-07-18,273.619995,279.630005,272.299988,252.715897,278.910004,1233700
2013-07-19,279.980011,280.720001,275.290009,254.355865,280.720001,775200
2013-07-22,280.250000,286.000000,278.929993,259.140045,286.000000,769400
2013-07-23,286.019989,288.820007,284.779999,258.188629,284.950012,706100
2013-07-24,285.170013,286.440002,282.549988,257.282593,283.950012,856300
2013-07-25,282.209991,286.529999,281.250000,258.215790,284.980011,580400
2013-07-26,283.070007,286.399994,281.679993,259.484344,286.380005,421300
2013-07-29,286.809998,286.809998,282.029999,256.530426,283.119995,424000
2013-07-30,284.790009,285.290009,281.869995,255.914322,282.440002,494500
2013-07-31,282.679993,285.809998,281.269989,255.479462,281.959991,733900
2013-08-01,286.000000,287.000000,283.679993,258.478516,285.269989,774500
2013-08-02,285.500000,288.320007,284.350006,259.701691,286.619995,610600
2013-08-05,284.970001,286.029999,283.429993,258.886292,285.720001,334500
